id,name
1000209-011,孝威村
1000209-012,錦眾村
1000209-013,利澤村
1000209-014,成興村
1000209-015,季新村
1000210-001,員山村
1000210-002,天山村
1000210-003,天福村
1000210-004,雙賢村
1000210-005,人和村
1000210-006,義德村
1000210-007,集慶村
1000210-008,月眉村
1000210-009,拱照村
1000210-010,大隱村
1000210-011,行健村
1000210-012,萬德村
1000210-013,貴林村
1000210-014,萬富村
1000210-015,大義村
1000210-016,尚武村
1000210-017,大洲村
1000210-018,尾塹村
1000211-001,寒溪村
1000211-002,崙埤村
1000211-003,松羅村
1000211-004,復興村
1000211-005,英士村
1000211-006,樂水村
1000211-007,太平村
1000211-008,四季村
1000211-009,南山村
1000211-010,茂安村
1000212-001,南澳村
1000212-002,碧候村
1000212-003,東岳村
1000212-004,金岳村
1000212-005,武塔村
1000212-006,金洋村
1000212-007,澳花村
1000401-001,斗崙里
1000401-002,鹿場里
1000401-003,東平里
1000401-004,中興里
1000401-005,隘口里
1000401-006,東海里
1000401-007,竹北里
1000401-008,竹仁里
1000401-009,竹義里
1000401-010,泰和里
1000401-011,新社里
1000401-012,聯興里
1000401-013,麻園里
1000401-014,溪州里
1000401-015,白地里
1000401-016,新港里
1000401-017,大義里
1000401-018,崇義里
1000401-019,大眉里
1000401-020,尚義里
1000401-021,十興里
1000401-022,新國里
1000401-023,新庄里
1000401-024,北崙里
1000401-025,新崙里
1000401-026,福德里
1000401-027,東興里
1000401-028,北興里
1000401-029,興安里
1000401-030,文化里
1000402-001,上坪里
1000402-002,瑞峰里
1000402-003,軟橋里
1000402-004,員崠里
1000402-005,東寧里
1000402-006,上舘村
1000402-007,大鄉里
1000402-008,東華里
1000402-009,商華里
1000402-010,竹東里
1000402-011,榮樂里
1000402-012,鷄林里
1000402-013,仁愛里
1000402-014,五豐里
1000402-015,三重里
1000402-016,頭重里
1000402-017,員山里
1000402-018,柯湖里
1000402-019,二重里
1000402-020,中山里
1000402-021,中正里
1000402-022,南華里
1000402-023,榮華里
1000402-024,忠孝里
1000402-025,陸豐里
1000403-001,內立里
1000403-002,寶石里
1000403-003,文山里
1000403-004,五埔里
1000403-005,四座里
1000403-006,旱坑里
1000403-007,田新里
1000403-008,新埔里
1000403-009,新生里
1000403-010,新民里
1000403-011,上寮里
1000403-012,下寮里
1000403-013,南平里
1000403-014,北平里
1000403-015,巨埔里
1000403-016,照門里
1000403-017,清水里
1000403-018,鹿鳴里
1000403-019,新北里
1000404-001,東興里
1000404-002,西安里
1000404-003,南雄里
1000404-004,北斗里
1000404-005,仁安里
1000404-006,北山里
1000404-007,南山里
1000404-008,東安里
1000404-009,東光里
1000404-010,新富里
1000404-011,金山里
1000404-012,錦山里
